	Unnamed: 0	Datetime	Tweet ID	Text	Username	Location
24	24	2023-01-26 02:51:26+00:00	1618441452471857152	Kalo Bandung mah lebih ke dahlah lu macet  sama bikin flyover doang bisanya anjing https://t.co/znbjIYPAyj	rumraisinfrappe	
25	25	2023-01-21 12:32:32+00:00	1616775754284695557	@g4kta @Itsme_Bunn @gibran_tweet Bandung udah bnyak flyover, soal macet sih apa boleh buat paling 3 in 1 solusi saat ini, transport publik juga gak bakalan efektif, karena bnyak perkantoran/ industri yg letaknya tdk strategis, rute kerja saya juga waktu tempuhnya masih standar	Gpermanaku	
26	26	2023-01-11 07:45:03+00:00	1613079525566611458	@halo_bandung knp flyover dibangun bukan di jalan kopo yang setiap hari macet krn byk simpangan? malah di soekarno hatta. pdhal macet soekarno hatta kebanyakan efek macet masuk ke kopo &amp; cibaduyut	k_triena	
27	27	2023-01-10 15:30:07+00:00	1612834176864256000	Sering Terjadi Macet, Pemprov Bakal  Buat flyover Akses Jalan Menuju Al Jabbar #Bandung #MasjidAlJabbar #PemprovJabar #AksesJalan #Macet https://t.co/PrEUWWEJmh	ceklissatucom	
28	28	2023-01-10 04:36:22+00:00	1612669657252794369	@halo_bandung Flyover kopo yang rame tetep jalan bawahnya, flyovernya mah kosyongggg, tapi tetap kejebag macet karena mau ke bawah padet ehehe.	monicasei	
29	29	2023-01-07 13:13:20+00:00	1611712589985374211	Julukan Bandung Kota Kembang, jadi Bandung Kota Flyover geura. Saucrit2 tea, sabari angger macet.	tatamurti	
30	30	2023-01-07 11:54:28+00:00	1611692742698205184	"Warga 1: Bandung macet euy, apa ya solusinya

Warga 2: *bisik2* transportasi publik yuk?

Pemkot: Terima kasih, kami terima aspirasinya.

*Beberapa saat kemudian*

Pemkot: Untuk mengatasi macet kita akan membangun flyover A, B, C, dan Z"	msenaluphdika	
31	31	2023-01-05 13:48:29+00:00	1610996661970669569	"@txtdaribandung Paling abis ini pak RK bikin Flyover lagi buat ngatasin masalah macet di bandung wkwkwkw

Saran nyieun flyover na ti Padalarang nepi ka Cibiru meh puas 👍"	pipitmilkita	
32	32	2023-01-05 02:30:36+00:00	1610826064162590720	"@halo_bandung Masalah sampah teratasi (contoh kecil pagi2 di flyover Soekarno Hatta tampak beberapa plastik kresek isi sampah menghiasai bahu jalan)

Semakin aman dan bebas begal
Pasar andir bebas banjir saat hujan deras
Gedebage bebas banjir
Buah batu + terusan buah batu ga macet"	AgungCHOWibowo	
33	33	2023-01-05 02:01:24+00:00	1610818717872713729	Trus aja bangun flyover bukannya bermanfaat makin mudharat (macet), didorong untuk transportasi umum masih kek gitu aja amburadul sm premanisme, armada aja banyak yg ga layak jalan, Bandung memang bukan seperti dulu saya masih sekolah	adlanrhidayat	
34	34	2023-01-04 16:06:17+00:00	1610668952866390017	@txtdaribandung Kamana atuh transportasi publik nu genah teh pak, di Bandung iyeu daerah rawan macet jol hayuuu we ngadeluk ngabangun flyover, lila-lila mah Bandung jadi dua tingkat geura :(	siYangmuliaRatu	
35	35	2023-01-04 02:00:22+00:00	1610456069964468224	@nuggetrebuz Orang Bandung emang banyak yang manja terlalu nyaman sama kendaraan pribadi tapi ngeluh macet terus akhirnya dibangunlah terus analgesik flyover 😅	biofeb	
